"","Rk","Tm.x","W","L","WL","Strk","R","RA","Rdiff","SOS","SRS","pythWL","Luck","vEast","vCent","vWest","Inter","Home","Road","ExInn","1Run","vRHP","vLHP","≥.500","<.500","last10","last20","last30","Year.x","tYear","Tm.y","Attendance","Attend/G","BatAge","PAge","BPF","PPF","#HOF","#A-S","#a-tA-S","Est. Payroll","Time","Chall","Succ","Succ%","Managers","Year.y"
"71",11,"Seattle Mariners",90,72,0.556,NA,4.3,4.6,-0.3,0.1,-0.2,"76-86",14,"19-15","15-17","47-29","9-11","46-35","44-37","14-7","33-19","54-44","36-28","44-34","46-38",NA,NA,NA,2021,"Seattle Mariners2021","Seattle Mariners",1215985,15012,27,28,95,95,0,1,7,"$64,605,500",03:12:00,10,4,"40%","Servais",2021
"72",12,"Atlanta Braves",88,73,0.547,NA,4.9,4.1,0.8,-0.1,0.7,"94-67",-6,"45-31","22-12","15-16","6-14","42-38","46-35","5-9","26-31","65-55","23-18","31-37","57-36",NA,NA,NA,2021,"Atlanta Braves2021","Atlanta Braves",2299647,28746,28.2,29.5,104,103,0,3,21,"$127,230,000",03:08:00,12,2,"16%","Snitker",2021
"73",13,"Oakland Athletics",86,76,0.531,NA,4.6,4.2,0.3,0.1,0.4,"87-75",-1,"15-18","23-10","37-39","11-9","43-38","43-38","8-3","23-27","49-50","37-26","30-51","56-25",NA,NA,NA,2021,"Oakland Athletics2021","Oakland Athletics",701430,8660,30.1,30.1,95,95,0,2,12,"$94,555,834",03:08:00,10,1,"10%","Melvin",2021
"74",14,"Cincinnati Reds",83,79,0.512,NA,4.9,4.7,0.2,-0.2,0,"83-79",0,"20-13","43-33","11-22","9-11","44-37","39-42","9-8","24-20","62-59","21-20","31-37","52-42",NA,NA,NA,2021,"Cincinnati Reds2021","Cincinnati Reds",1505024,18581,28.9,28.9,110,111,0,2,12,"$116,784,881",03:14:00,13,10,"76%","Bell",2021
"75",15,"Philadelphia Phillies",82,80,0.506,NA,4.5,4.6,-0.1,0,-0.1,"80-82",2,"41-35","20-14","13-19","8-12","47-34","35-46","11-6","30-25","59-51","23-29","30-38","52-42",NA,NA,NA,2021,"Philadelphia Phillies2021","Philadelphia Phillies",1515890,18715,29.1,28.8,99,99,0,2,12,"$185,286,962",03:17:00,15,5,"33%","Girardi",2021
"76",16,"Cleveland Indians",80,82,0.494,NA,4.4,4.5,-0.1,-0.1,-0.1,"80-82",0,"13-21","43-33","15-17","9-11","40-41","40-41","7-9","17-22","51-52","29-30","28-51","52-31",NA,NA,NA,2021,"Cleveland Indians2021","Cleveland Indians",1114368,13758,26.7,26.3,100,99,0,2,5,"$50,425,500",03:04:00,11,8,"72%","Francona",2021
"77",17,"San Diego Padres",79,83,0.488,NA,4.5,4.4,0.1,0.1,0.2,"83-79",-4,"15-18","16-17","34-42","14-6","45-36","34-47","8-8","21-26","55-63","24-20","39-44","40-39",NA,NA,NA,2021,"San Diego Padres2021","San Diego Padres",2191950,27061,28,29.6,92,92,0,5,12,"$151,984,286",03:18:00,19,10,"52%","Tingler",2021
"78",18,"Detroit Tigers",77,85,0.475,NA,4.3,4.7,-0.4,-0.1,-0.4,"75-87",2,"18-14","30-46","18-16","11-9","42-39","35-46","12-8","23-23","48-60","29-25","39-36","38-49",NA,NA,NA,2021,"Detroit Tigers2021","Detroit Tigers",1102621,13613,28.1,27.3,97,98,0,1,7,"$78,590,500",03:06:00,12,7,"58%","Hinch",2021
"79",19,"New York Mets",77,85,0.475,NA,3.9,4.1,-0.2,0,-0.2,"77-85",0,"39-37","13-20","16-17","9-11","47-34","30-51","11-7","31-35","59-52","18-33","33-53","44-32",NA,NA,NA,2021,"New York Mets2021","New York Mets",1511926,18666,28.2,29.5,96,95,0,2,13,"$184,675,167",03:09:00,14,5,"35%","Rojas",2021
"80",20,"Los Angeles Angels",77,85,0.475,NA,4.5,5,-0.5,0.2,-0.3,"73-89",4,"16-17","21-12","29-47","11-9","40-42","37-43","3-5","25-14","47-60","30-25","39-62","38-23",NA,NA,NA,2021,"Los Angeles Angels2021","Los Angeles Angels",1515689,18484,29.1,28.6,103,103,0,3,13,"$188,408,595",03:12:00,20,6,"30%","Maddon",2021
"81",21,"Colorado Rockies",74,87,0.46,NA,4.6,4.9,-0.4,0.1,-0.2,"75-86",-1,"19-13","14-19","31-45","10-10","48-33","26-54","8-7","24-25","47-69","27-18","31-52","43-35",NA,NA,NA,2021,"Colorado Rockies2021","Colorado Rockies",1938645,23934,28.1,28.3,113,114,0,1,6,"$92,675,000",03:12:00,16,9,"56%","Black",2021
"82",22,"Kansas City Royals",74,88,0.457,NA,4.2,4.9,-0.6,0,-0.6,"71-91",3,"12-21","36-40","14-19","12-8","39-42","35-46","4-5","21-19","48-64","26-24","35-44","39-44",NA,NA,NA,2021,"Kansas City Royals2021","Kansas City Royals",1159613,14316,29.3,27.9,103,105,0,2,9,"$86,820,000",03:08:00,17,6,"35%","Matheny",2021
"83",23,"Minnesota Twins",73,89,0.451,NA,4.5,5.1,-0.6,0,-0.6,"71-91",2,"13-20","37-39","13-20","10-10","38-43","35-46","11-12","25-19","53-53","20-36","29-49","44-40",NA,NA,NA,2021,"Minnesota Twins2021","Minnesota Twins",1310199,16175,28.3,29.8,98,98,0,2,12,"$120,158,333",03:10:00,21,9,"42%","Baldelli",2021
"84",24,"Chicago Cubs",71,91,0.438,NA,4.4,5.2,-0.8,-0.1,-0.9,"68-94",3,"13-21","35-41","17-15","6-14","39-42","32-49","6-7","24-27","50-67","21-24","31-60","40-31",NA,NA,NA,2021,"Chicago Cubs2021","Chicago Cubs",1978934,24431,29.1,29.4,99,100,0,2,11,"$144,413,500",03:16:00,18,9,"50%","Ross",2021
"85",25,"Miami Marlins",67,95,0.414,NA,3.8,4.3,-0.5,0,-0.5,"72-90",-5,"35-41","12-20","17-17","3-17","42-39","25-56","9-8","21-29","49-64","18-31","31-56","36-39",NA,NA,NA,2021,"Miami Marlins2021","Miami Marlins",642617,7934,28.2,27.3,99,100,0,1,10,"$33,150,000",03:11:00,16,2,"12%","Mattingly",2021
"86",26,"Washington Nationals",65,97,0.401,NA,4.5,5.1,-0.6,0,-0.6,"72-90",-7,"30-46","14-18","11-23","10-10","35-46","30-51","2-11","22-26","47-63","18-34","27-58","38-39",NA,NA,NA,2021,"Washington Nationals2021","Washington Nationals",1465543,18093,28.6,30.1,95,96,0,4,18,"$172,370,147",03:13:00,14,7,"50%","Martinez",2021
"87",27,"Pittsburgh Pirates",61,101,0.377,NA,3.8,5.1,-1.4,0,-1.4,"58-104",3,"17-17","23-53","11-21","10-10","37-44","24-57","5-3","20-22","47-65","14-36","29-59","32-42",NA,NA,NA,2021,"Pittsburgh Pirates2021","Pittsburgh Pirates",859498,10611,27.5,27.4,99,101,0,2,9,"$50,255,000",03:11:00,15,8,"53%","Shelton",2021
"88",28,"Texas Rangers",60,102,0.37,NA,3.9,5,-1.2,0.2,-1,"62-100",-2,"14-20","11-21","28-48","7-13","36-45","24-57","9-9","18-21","33-68","27-34","34-63","26-39",NA,NA,NA,2021,"Texas Rangers2021","Texas Rangers",2110258,26053,26.8,27.8,100,102,0,3,8,"$67,890,999",03:05:00,20,9,"45%","Woodward",2021
"89",29,"Baltimore Orioles",52,110,0.321,NA,4.1,5.9,-1.8,0.3,-1.5,"54-108",-2,"20-56","10-24","15-17","7-13","27-54","25-56","4-7","13-24","30-67","22-43","30-78","22-32",NA,NA,NA,2021,"Baltimore Orioles2021","Baltimore Orioles",793229,9793,26.7,28.1,101,103,0,1,5,"$42,075,000",03:06:00,10,1,"10%","Hyde",2021
"90",30,"Arizona Diamondbacks",52,110,0.321,NA,4.2,5.5,-1.3,0.2,-1.1,"61-101",-9,"13-21","13-19","22-54","4-16","32-49","20-61","6-10","10-31","40-75","12-35","22-63","30-47",NA,NA,NA,2021,"Arizona Diamondbacks2021","Arizona Diamondbacks",1043010,12877,28.9,28.5,99,100,0,1,11,"$77,691,667",03:15:00,10,2,"20%","Lovullo",2021
"91",1,"Houston Astros",107,55,0.66,NA,5.7,4,1.7,-0.3,1.4,"107-55",0,"19-13","21-13","56-20","11-9","60-21","47-34","10-4","24-19","69-44","38-11","35-28","72-27",NA,NA,NA,2019,"Houston Astros2019","Houston Astros",2857367,35276,28.9,29.9,103,100,0,6,18,"$166,042,500",03:05:00,39,20,"51%","Hinch",2019
"92",2,"Los Angeles Dodgers",106,56,0.654,NA,5.5,3.8,1.7,0,1.7,"107-55",-1,"23-10","22-11","51-25","10-10","59-22","47-34","6-4","27-22","76-34","30-22","45-32","61-24",NA,NA,NA,2019,"Los Angeles Dodgers2019","Los Angeles Dodgers",3974309,49066,27.9,28.9,97,94,0,5,16,"$193,553,333",03:12:00,34,19,"55%","Roberts",2019
"93",3,"New York Yankees",103,59,0.636,NA,5.8,4.6,1.3,-0.3,1,"99-63",4,"54-22","18-15","19-14","12-8","57-24","46-35","7-4","18-19","70-41","33-18","43-32","60-27",NA,NA,NA,2019,"New York Yankees2019","New York Yankees",3304404,40795,28.3,30.2,98,96,0,5,17,"$228,442,421",03:11:00,22,15,"68%","Boone",2019
"94",4,"Minnesota Twins",101,61,0.623,NA,5.8,4.7,1.1,-0.5,0.7,"97-65",4,"20-12","50-26","23-11","8-12","46-35","55-26","5-7","23-12","79-44","22-17","32-37","69-24",NA,NA,NA,2019,"Minnesota Twins2019","Minnesota Twins",2303299,28436,27.8,28.2,99,98,0,3,15,"$113,758,333",03:14:00,39,12,"30%","Baldelli",2019
"95",5,"Atlanta Braves",97,65,0.599,NA,5.3,4.6,0.7,0.1,0.8,"91-71",6,"46-30","20-13","18-15","13-7","50-31","47-34","11-6","28-16","74-51","23-14","52-43","45-22",NA,NA,NA,2019,"Atlanta Braves2019","Atlanta Braves",2654920,32777,28,27.5,106,104,0,3,21,"$133,186,667",03:13:00,30,16,"53%","Snitker",2019
"96",6,"Oakland Athletics",97,65,0.599,NA,5.2,4.2,1,-0.2,0.8,"97-65",0,"17-16","25-8","44-32","11-9","52-29","45-36","6-9","27-22","62-51","35-14","35-27","62-38",NA,NA,NA,2019,"Oakland Athletics2019","Oakland Athletics",1670734,20626,27.8,30.8,94,93,0,2,11,"$102,935,833",03:07:00,29,12,"41%","Melvin",2019
"97",7,"Tampa Bay Rays",96,66,0.593,NA,4.7,4,0.7,-0.2,0.5,"93-69",3,"44-32","20-13","18-15","14-6","48-33","48-33","11-8","23-16","64-41","32-25","38-35","58-31",NA,NA,NA,2019,"Tampa Bay Rays2019","Tampa Bay Rays",1178735,14552,27.2,27.8,96,95,0,3,11,"$57,098,067",03:11:00,48,22,"45%","Cash",2019
"98",8,"Washington Nationals",93,69,0.574,NA,5.4,4.5,0.9,0,1,"95-67",-2,"44-32","17-15","18-16","14-6","50-31","43-38","4-6","17-21","69-52","24-17","48-48","45-21",NA,NA,NA,2019,"Washington Nationals2019","Washington Nationals",2259781,27899,28.7,30.8,102,102,0,2,16,"$203,016,595",03:12:00,31,15,"48%","Martinez",2019
"99",9,"Cleveland Indians",93,69,0.574,NA,4.7,4.1,0.7,-0.4,0.2,"93-69",0,"18-16","48-28","19-13","8-12","49-32","44-37","6-7","15-16","60-47","33-22","25-39","68-30",NA,NA,NA,2019,"Cleveland Indians2019","Cleveland Indians",1738642,21465,27.8,28.3,104,102,0,4,13,"$151,257,783",03:03:00,27,15,"55%","Francona",2019
"100",10,"St. Louis Cardinals",91,71,0.562,NA,4.7,4.1,0.6,0.2,0.8,"92-70",-1,"18-15","46-30","18-15","9-11","50-31","41-40","8-4","25-22","73-55","18-16","42-42","49-29",NA,NA,NA,2019,"St. Louis Cardinals2019","St. Louis Cardinals",3480393,42968,28.8,27.8,96,95,0,1,15,"$161,120,267",03:10:00,39,16,"41%","Shildt",2019
"101",11,"Milwaukee Brewers",89,73,0.549,NA,4.7,4.7,0,0.3,0.3,"81-81",8,"21-11","45-31","15-19","8-12","49-32","40-41","7-8","27-18","64-49","25-24","48-40","41-33",NA,NA,NA,2019,"Milwaukee Brewers2019","Milwaukee Brewers",2923333,36091,28.9,28.7,101,101,0,5,15,"$128,842,900",03:16:00,28,16,"57%","Counsell",2019
"102",12,"New York Mets",86,76,0.531,NA,4.9,4.5,0.3,0.2,0.5,"86-76",0,"40-36","14-19","17-16","15-5","48-33","38-43","7-9","24-23","68-53","18-23","47-55","39-21",NA,NA,NA,2019,"New York Mets2019","New York Mets",2442532,30155,27.9,28.6,93,93,0,3,18,"$154,837,230",03:09:00,36,13,"36%","Callaway",2019
"103",13,"Arizona Diamondbacks",85,77,0.525,NA,5,4.6,0.4,0.2,0.6,"88-74",-3,"17-17","16-16","38-38","14-6","44-37","41-40","9-9","24-26","60-58","25-19","35-40","50-37",NA,NA,NA,2019,"Arizona Diamondbacks2019","Arizona Diamondbacks",2135510,26364,28.7,28.6,101,101,0,2,10,"$124,016,266",03:15:00,36,21,"58%","Lovullo",2019
"104",14,"Boston Red Sox",84,78,0.519,NA,5.6,5.1,0.5,-0.2,0.2,"87-75",-3,"35-41","21-11","18-16","10-10","38-43","46-35","9-8","23-22","60-48","24-30","28-45","56-33",NA,NA,NA,2019,"Boston Red Sox2019","Boston Red Sox",2915502,35994,27.3,29,106,105,0,3,15,"$218,978,142",03:25:00,33,22,"66%","Cora",2019
"105",15,"Chicago Cubs",84,78,0.519,NA,5,4.4,0.6,0.2,0.8,"90-72",-6,"17-17","37-39","18-14","12-8","51-30","33-48","4-9","19-27","70-60","14-18","39-45","45-33",NA,NA,NA,2019,"Chicago Cubs2019","Chicago Cubs",3094865,38208,27.7,31.1,100,100,0,3,19,"$220,305,215",03:12:00,32,16,"50%","Maddon",2019
"106",16,"Philadelphia Phillies",81,81,0.5,NA,4.8,4.9,-0.1,0.2,0.1,"79-83",2,"36-40","20-13","14-19","11-9","45-36","36-45","7-6","20-20","63-56","18-25","48-52","33-29",NA,NA,NA,2019,"Philadelphia Phillies2019","Philadelphia Phillies",2727421,33672,27.6,28.4,101,101,0,1,12,"$141,786,962",03:15:00,43,23,"53%","Kapler",2019
"107",17,"Texas Rangers",78,84,0.481,NA,5,5.4,-0.4,0,-0.5,"75-87",3,"18-14","18-16","33-43","9-11","45-36","33-48","7-6","25-21","52-52","26-32","31-53","47-31",NA,NA,NA,2019,"Texas Rangers2019","Texas Rangers",2132994,26333,28.8,28.3,111,112,0,3,11,"$104,433,499",03:11:00,46,29,"63%","Woodward",2019
"108",18,"San Francisco Giants",77,85,0.475,NA,4.2,4.8,-0.6,0.3,-0.3,"71-91",6,"14-19","14-19","38-38","11-9","35-46","42-39","13-3","38-16","57-56","20-29","42-55","35-30",NA,NA,NA,2019,"San Francisco Giants2019","San Francisco Giants",2707760,33429,29.9,28.9,95,95,0,1,15,"$175,450,753",03:07:00,28,15,"53%","Bochy",2019
"109",19,"Cincinnati Reds",75,87,0.463,NA,4.3,4.4,-0.1,0.2,0.2,"80-82",-5,"17-17","33-43","16-16","9-11","41-40","34-47","7-8","24-33","58-64","17-23","46-60","29-27",NA,NA,NA,2019,"Cincinnati Reds2019","Cincinnati Reds",1809075,22334,27.9,28.2,106,106,0,2,14,"$109,737,499",03:03:00,34,14,"41%","Bell",2019
"110",20,"Chicago White Sox",72,89,0.447,NA,4.4,5.2,-0.8,-0.3,-1,"69-92",3,"15-18","38-37","13-20","6-14","39-41","33-48","4-4","14-18","44-62","28-27","35-53","37-36",NA,NA,NA,2019,"Chicago White Sox2019","Chicago White Sox",1649775,20622,27.6,27.6,98,99,0,3,10,"$80,846,333",03:10:00,28,12,"42%","Renteria",2019
"111",21,"Los Angeles Angels",72,90,0.444,NA,4.7,5.4,-0.6,0,-0.6,"72-90",0,"17-18","13-18","30-46","12-8","38-43","34-47","3-7","18-22","49-60","23-30","29-55","43-35",NA,NA,NA,2019,"Los Angeles Angels2019","Los Angeles Angels",3023012,37321,28.8,27,100,100,0,2,10,"$158,078,584",03:15:00,31,17,"54%","Ausmus",2019
"112",22,"Colorado Rockies",71,91,0.438,NA,5.2,5.9,-0.8,0.3,-0.4,"71-91",0,"16-17","15-18","32-44","8-12","43-38","28-53","10-6","22-21","46-55","25-36","38-60","33-31",NA,NA,NA,2019,"Colorado Rockies2019","Colorado Rockies",2993244,36954,28.2,27.3,116,117,0,4,11,"$145,348,500",03:14:00,38,20,"52%","Black",2019
"113",23,"San Diego Padres",70,92,0.432,NA,4.2,4.9,-0.7,0.3,-0.4,"70-92",0,"14-18","14-20","31-45","11-9","36-45","34-47","5-7","26-24","56-70","14-22","40-53","30-39",NA,NA,NA,2019,"San Diego Padres2019","San Diego Padres",2396399,29585,26.1,26.3,94,95,0,1,8,"$90,260,767",03:07:00,54,25,"46%","Green and Barajas",2019
"114",24,"Pittsburgh Pirates",69,93,0.426,NA,4.7,5.6,-0.9,0.3,-0.7,"68-94",1,"11-21","29-47","17-17","12-8","35-46","34-47","7-11","19-25","53-66","16-27","30-72","39-21",NA,NA,NA,2019,"Pittsburgh Pirates2019","Pittsburgh Pirates",1491439,18413,27.4,27.2,97,98,0,2,13,"$72,915,501",03:12:00,36,15,"41%","Hurdle and Prince",2019
"115",25,"Seattle Mariners",68,94,0.42,NA,4.7,5.5,-0.8,0,-0.9,"69-93",-1,"14-19","18-15","27-49","9-11","35-46","33-48","9-4","23-26","52-58","16-36","22-59","46-35",NA,NA,NA,2019,"Seattle Mariners2019","Seattle Mariners",1791109,22112,27.8,28.6,94,94,0,1,10,"$126,874,600",03:08:00,38,18,"47%","Servais",2019
"116",26,"Toronto Blue Jays",67,95,0.414,NA,4.5,5.1,-0.6,-0.1,-0.7,"71-91",-4,"33-43","17-18","14-17","3-17","35-46","32-49","7-8","18-23","43-65","24-30","35-58","32-37",NA,NA,NA,2019,"Toronto Blue Jays2019","Toronto Blue Jays",1750144,21607,25.9,28,97,98,0,1,10,"$62,180,671",03:07:00,39,17,"43%","Montoyo",2019
"117",27,"Kansas City Royals",59,103,0.364,NA,4.3,5.4,-1.1,-0.2,-1.3,"64-98",-5,"10-23","31-45","9-24","9-11","31-50","28-53","4-9","15-25","43-76","16-27","28-60","31-43",NA,NA,NA,2019,"Kansas City Royals2019","Kansas City Royals",1479659,18267,27.6,27.9,102,103,0,1,5,"$98,183,242",03:03:00,28,23,"82%","Yost",2019
"118",28,"Miami Marlins",57,105,0.352,NA,3.8,5,-1.2,0.3,-0.9,"61-101",-4,"24-52","10-24","14-18","9-11","30-51","27-54","7-9","16-28","39-81","18-24","38-83","19-22",NA,NA,NA,2019,"Miami Marlins2019","Miami Marlins",811302,10016,28.4,26.5,96,97,0,1,8,"$74,683,643",03:05:00,43,22,"51%","Mattingly",2019
"119",29,"Baltimore Orioles",54,108,0.333,NA,4.5,6.1,-1.6,0,-1.5,"60-102",-6,"24-52","12-20","11-23","7-13","25-56","29-52","2-8","11-22","33-67","21-41","26-67","28-41",NA,NA,NA,2019,"Baltimore Orioles2019","Baltimore Orioles",1307807,16146,26.5,27.3,100,102,0,1,6,"$82,696,100",03:07:00,30,11,"36%","Hyde",2019
"120",30,"Detroit Tigers",47,114,0.292,NA,3.6,5.7,-2.1,-0.2,-2.2,"49-112",-2,"14-19","22-53","6-27","5-15","22-59","25-55","6-10","14-22","34-90","13-24","19-65","28-49",NA,NA,NA,2019,"Detroit Tigers2019","Detroit Tigers",1501430,18536,27.6,27.8,101,103,0,1,11,"$100,618,500",03:02:00,34,14,"41%","Gardenhire",2019
"121",1,"Boston Red Sox",108,54,0.667,NA,5.4,4,1.4,-0.2,1.2,"103-59",5,"52-24","19-14","21-12","16-4","57-24","51-30","8-5","25-14","87-38","21-16","41-33","67-21",NA,NA,NA,2018,"Boston Red Sox2018","Boston Red Sox",2895575,35748,27.7,28.9,104,103,0,5,20,"$222,205,000",03:13:00,43,22,"51%","Cora",2018
"122",2,"Houston Astros",103,59,0.636,NA,4.9,3.3,1.6,-0.1,1.5,"109-53",-6,"19-15","25-7","46-30","13-7","46-35","57-24","5-6","24-24","66-36","37-23","41-38","62-21",NA,NA,NA,2018,"Houston Astros2018","Houston Astros",2980549,36797,28.1,30,99,97,0,6,16,"$172,781,200",03:04:00,34,14,"41%","Hinch",2018
"123",3,"New York Yankees",100,62,0.617,NA,5.3,4.1,1.1,-0.2,0.9,"99-63",1,"44-32","23-11","22-10","11-9","53-28","47-34","9-5","23-17","70-47","30-15","41-30","59-32",NA,NA,NA,2018,"New York Yankees2018","New York Yankees",3482855,42998,27.2,28.8,100,98,0,4,16,"$160,643,032",03:11:00,35,26,"74%","Boone",2018
"124",4,"Oakland Athletics",97,65,0.599,NA,5,4.2,0.9,0,0.8,"95-67",2,"21-11","26-8","38-38","12-8","50-31","47-34","13-6","31-14","65-40","32-25","33-40","64-25",NA,NA,NA,2018,"Oakland Athletics2018","Oakland Athletics",1573616,19427,28,29.2,97,97,0,2,14,"$69,883,333",03:05:00,42,21,"50%","Melvin",2018
"125",5,"Milwaukee Brewers",96,67,0.589,NA,4.6,4,0.6,0,0.6,"91-72",5,"20-13","40-37","23-10","13-7","51-30","45-37","9-7","33-19","72-48","24-19","49-46","47-21",NA,NA,NA,2018,"Milwaukee Brewers2018","Milwaukee Brewers",2850875,35196,28.9,28.8,102,101,0,5,18,"$109,295,700",03:07:00,34,7,"20%","Counsell",2018
"126",6,"Chicago Cubs",95,68,0.583,NA,4.7,4,0.7,0,0.7,"94-69",1,"22-11","41-36","19-14","13-7","51-31","44-37","11-8","26-25","73-55","22-13","49-46","46-22",NA,NA,NA,2018,"Chicago Cubs2018","Chicago Cubs",3181089,38794,27.2,30.2,104,103,0,3,16,"$205,373,881",03:09:00,43,27,"62%","Maddon",2018
"127",7,"Los Angeles Dodgers",92,71,0.564,NA,4.9,3.7,1.2,0.1,1.2,"102-61",-10,"19-13","16-18","45-32","12-8","45-37","47-34","8-7","22-22","52-46","40-25","51-38","41-33",NA,NA,NA,2018,"Los Angeles Dodgers2018","Los Angeles Dodgers",3857500,47043,28.1,29.2,98,96,0,3,19,"$164,703,429",03:13:00,39,18,"46%","Roberts",2018
"128",8,"Cleveland Indians",91,71,0.562,NA,5,4,1,-0.4,0.6,"98-64",-7,"16-18","49-27","14-18","12-8","49-32","42-39","4-9","22-24","69-50","22-21","23-31","68-40",NA,NA,NA,2018,"Cleveland Indians2018","Cleveland Indians",1926701,23786,29.4,29.4,103,101,0,6,16,"$143,375,233",03:03:00,37,16,"43%","Francona",2018
"129",9,"Colorado Rockies",91,72,0.558,NA,4.8,4.6,0.2,0.2,0.4,"85-78",6,"23-11","14-18","41-36","13-7","47-34","44-38","5-6","26-15","58-45","33-27","48-44","43-28",NA,NA,NA,2018,"Colorado Rockies2018","Colorado Rockies",3015880,37233,28.7,27.9,117,117,0,3,11,"$136,658,500",03:04:00,46,24,"52%","Black",2018
"130",10,"Atlanta Braves",90,72,0.556,NA,4.7,4.1,0.6,0,0.6,"92-70",-2,"49-27","18-14","15-19","8-12","43-38","47-34","6-8","23-12","69-46","21-26","38-40","52-32",NA,NA,NA,2018,"Atlanta Braves2018","Atlanta Braves",2555781,31553,27.4,27.7,101,101,0,4,16,"$115,848,667",03:04:00,45,18,"40%","Snitker",2018
"131",11,"Tampa Bay Rays",90,72,0.556,NA,4.4,4,0.4,-0.1,0.3,"89-73",1,"41-35","21-11","21-13","7-13","51-30","39-42","5-7","28-31","63-52","27-20","34-39","56-33",NA,NA,NA,2018,"Tampa Bay Rays2018","Tampa Bay Rays",1154973,14259,27.1,27.1,97,96,0,2,13,"$46,569,867",03:01:00,54,26,"48%","Cash",2018
"132",12,"Seattle Mariners",89,73,0.549,NA,4.2,4.4,-0.2,0.1,-0.1,"77-85",12,"19-15","23-9","41-35","6-14","45-36","44-37","14-1","36-21","59-49","30-24","39-38","50-35",NA,NA,NA,2018,"Seattle Mariners2018","Seattle Mariners",2299489,28389,29.8,29,94,95,0,4,14,"$157,090,065",02:58:00,37,13,"35%","Servais",2018
"133",13,"St. Louis Cardinals",88,74,0.543,NA,4.7,4.3,0.4,0,0.4,"88-74",0,"16-16","41-35","20-14","11-9","43-38","45-36","8-8","22-22","61-52","27-22","50-43","38-31",NA,NA,NA,2018,"St. Louis Cardinals2018","St. Louis Cardinals",3403587,42020,28.1,26.7,97,96,0,2,14,"$157,713,667",03:10:00,47,18,"38%","Matheny and Shildt",2018
"134",14,"Pittsburgh Pirates",82,79,0.509,NA,4.3,4.3,0,0.1,0.1,"80-81",2,"12-20","43-33","12-21","15-5","44-36","38-43","7-5","29-22","61-52","21-27","39-53","43-26",NA,NA,NA,2018,"Pittsburgh Pirates2018","Pittsburgh Pirates",1465316,18316,27.8,26.5,96,97,0,1,12,"$88,141,000",03:04:00,48,23,"47%","Hurdle",2018
"135",15,"Washington Nationals",82,80,0.506,NA,4.8,4.2,0.5,0,0.5,"90-72",-8,"41-35","18-16","14-18","9-11","41-40","41-40","4-10","18-24","64-52","18-28","33-44","49-36",NA,NA,NA,2018,"Washington Nationals2018","Washington Nationals",2529604,31230,27.5,30.2,106,105,0,3,16,"$188,886,699",03:07:00,40,21,"52%","Martinez",2018
"136",16,"Arizona Diamondbacks",82,80,0.506,NA,4.3,4,0.3,0.2,0.5,"86-76",-4,"17-17","16-16","39-37","10-10","40-41","42-39","5-9","20-31","54-50","28-30","42-48","40-32",NA,NA,NA,2018,"Arizona Diamondbacks2018","Arizona Diamondbacks",2242695,27688,29.2,29.6,105,104,0,3,13,"$134,850,600",03:10:00,45,26,"57%","Lovullo",2018
"137",17,"Philadelphia Phillies",80,82,0.494,NA,4.2,4.5,-0.3,0.1,-0.3,"76-86",4,"34-42","19-14","15-18","12-8","49-32","31-50","8-6","23-18","59-66","21-16","44-50","36-32",NA,NA,NA,2018,"Philadelphia Phillies2018","Philadelphia Phillies",2158124,26644,26.7,26.8,102,102,0,1,8,"$93,874,333",03:10:00,44,27,"61%","Kapler",2018
"138",18,"Los Angeles Angels",80,82,0.494,NA,4.5,4.5,0,0.1,0.1,"81-81",-1,"11-21","22-12","37-39","10-10","42-39","38-43","5-7","26-15","58-53","22-29","35-61","45-21",NA,NA,NA,2018,"Los Angeles Angels2018","Los Angeles Angels",3020216,37287,29.5,27.5,98,98,0,1,8,"$166,849,666",03:09:00,42,23,"54%","Scioscia",2018
"139",19,"Minnesota Twins",78,84,0.481,NA,4.6,4.8,-0.2,-0.3,-0.5,"77-85",1,"18-16","42-34","10-22","8-12","49-32","29-52","5-8","15-21","57-59","21-25","29-47","49-37",NA,NA,NA,2018,"Minnesota Twins2018","Minnesota Twins",1959197,24188,28.2,28.5,101,100,1,1,17,"$110,275,000",03:10:00,45,21,"46%","Molitor",2018
"140",20,"New York Mets",77,85,0.475,NA,4.2,4.4,-0.2,0.1,-0.1,"78-84",-1,"40-36","13-20","16-17","8-12","37-44","40-41","9-9","16-26","59-61","18-24","40-57","37-28",NA,NA,NA,2018,"New York Mets2018","New York Mets",2224995,27469,28.4,28,92,92,0,1,19,"$161,403,844",03:01:00,29,15,"51%","Callaway",2018
"141",21,"San Francisco Giants",73,89,0.451,NA,3.7,4.3,-0.6,0.3,-0.3,"70-92",3,"16-17","11-22","38-38","8-12","42-39","31-50","11-10","26-30","44-54","29-35","47-63","26-26",NA,NA,NA,2018,"San Francisco Giants2018","San Francisco Giants",3156185,38965,29.8,28.6,93,94,0,2,14,"$202,060,277",03:01:00,31,23,"74%","Bochy",2018
"142",22,"Toronto Blue Jays",73,89,0.451,NA,4.4,5.1,-0.8,0,-0.7,"69-93",4,"30-46","18-15","12-21","13-7","40-41","33-48","10-6","23-17","58-51","15-38","31-60","42-29",NA,NA,NA,2018,"Toronto Blue Jays2018","Toronto Blue Jays",2325281,28707,29,29.3,98,99,0,1,13,"$151,670,772",02:59:00,39,18,"46%","Gibbons",2018
